"kwd","acc"
"injustice ","3097, 4009"
"innocence ","4001"
"innocent pleasure ","3126"
"insane asylum ","2137"
"inspiration, divine ","1754, 1755, 1756"
"instruction, religious ","2141, 4008"
"integrity ","1663"
"intellect, fallibility of ","2080"
"intellect, inferiority to morality ","2048"
"intemperance ","1798"
"intemperance in prayer ","1824"
"intemperant Christians, changeability of ","2088"
"Iredell ","1778"
"Isaac ","2145"
"Isaiah ","2098, 2131, 2155, 4019"
"Isaiah, prophecies of ","2128, 2161, 2172"
"Israelites, emancipation of ","2083"
"Israel, deliverance from Egypt ","2134"
"Israel, famine in ","2176"
"Israel, God's kindness to ","2160"
"Jack the Giant Killer, tale of ","4046"
"Jacob's dream ","2091"
"Jacob ","215, 215, 2145"
"Jacob, prophecy of Shiloh ","2128"
"Jacob, Richard, funeral of ","1845"
"James ","4015"
"James, son of Zebedee ","2081"
"James II ","935"
"James II, dethroned ","2066"
"Jeans, Agnes ","4062, 4064"
"Jefferson, Jane Randolph ","4002"
"Jefferson, Thomas ","4002"
"Jehoshaphat, piety of King ","2142"
"Jehu ","2032"
"jeremiad ","11, 4011"
"Jeremiah ","2098"
"Jeroboam ","2032"
"Jerusalem ","2110, 4006, 4016"
"Jerusalem, destruction of ","1925, 4034, 4044"
"Jerusalem, prophecy of the destruction of ","1905"
"Jesus, childhood of ","136"
"Jesus, Feast of the Sacred Heart of ","61, 246"
"Jesus, life and character of ","1833"
"Jesus, Sermon on the Mount ","55"
"Jesus, transfiguration of ","117"
"Jewish Church, music in ","2201"
"Jewish synagogue ","4037"
"Jews ","869, 939, 3019, 3104, 4045"
"Jews, as chosen people ","1818, 2100, 2131, 2156"
"Jews, as persecutors of Christ ","2032"
"Jews, as representatives of mankind ","2162"
"Jews, Babylonian captivity of ","2053, 4009"
"Jews, beliefs of ","1877, 1923, 4008"
"Jews, captivity of ","2146, 4044"
"Jews, Christ's love for ","2062"
"Jews, Christians persecuted by ","2206"
"Jews, comfort of ","2085"
"Jews, conversion of ","1974, 2016, 2100, 2131"
"Jews, diaspora of ","2131, 2160"
"Jews, disobedience to Christ ","1974"
"Jews, expectations of Messiah ","2127, 2128"
"Jews, idolatry of ","1922, 4009"
"Jews, natural fierceness of ","1789"
"Jews, rejection of gospel by ","1851"
"Jews, relation to Christ ","1885"
"Jews, religion of ","1942, 1948"
"Jews, religious rites of ","2018, 4010"
"Jews, religious state of ","1922"
"Jews, Roman subjugation of ","2156, 4009"
"Jews, sins of ","1927, 4023"
"Jews, the persecutors of Christ ","1818, 4019"
"Job ","981, 2149, 3138, 4007, 4048, 4048"
"Job, patience of ","2053, 2176"
"Job, redemption of ","3004"
"Joel, prophecies of ","2073"
"Johnson, Mrs. ","739"
"John, epistle of ","2103"
"John, gospel of ","2198"
"John, son of Zebedee ","2081"
"John, special relationship with Christ ","2198"
"John the Baptist ","365, 1829, 1926, 2042, 2094, 2098, 2128, 2178, 4010"
"John the Baptist, as forerunner of Christ ","2173"
"John the Baptist, character of ","2173"
"John the Baptist, death of ","2173"
"John the Baptist, life of ","2173"
"John the Baptist, preaching of ","2173"
"Jonathan ","680"
"Jonathan, David's address to ","2138"
"Jones, Lem ","92"
"Jones, Mrs., funeral of ","1870"
"Jones, Widow, funeral of ","92"
"Jordan, Mrs. ","4034"
"Joseph ","215, 215, 2096, 3017"
"Joseph, interpretation of dreams by ","2169"
"Joseph, slavery of ","2178"
"Joseph, story of ","1776"
"Joseph, trials of ","2189"
"Joseph and his brethren ","1847"
"joy ","927, 4017, 4018, 4025"
"joy, attainment of ","3057"
"joy, compatible with piety ","2061"
"joy, justness of ","3098"
"Jubal ","2201"
"Judah, Jacob's blessing of ","1925"
"Judah, John ","1778"
"Judaism, beliefs of ","1813, 4007"
"Judaism, defects of ","2030"
"Judas ","635, 3043, 4019, 4024, 4067"
"Judas, character of ","978"
"Judas, treachery of ","1832"
"judgments of God ","2110"
"judgment ","235l, 340, 430, 759, 888, 920, 1689, 1715, 1740, 1895, 2046, 3070"
"judgment, last ","869, 1625, 1751, 1805, 1806, 1812, 1817, 1819, 1823, 1844, 1846, 1854, 1860, 1861, 1898, 2072, 4011, 4016, 4025, 4027, 4030, 4033, 4034, 4036, 4043, 4046, 4048, 4049, 4051, 4061"
"judgment, preparation for ","357, 1624, 1906, 4003, 4025"
"judgment, rash ","228"
"Judgment Day ","254, 1777, 1788, 3029, 3053, 3067, 3068, 3132, 4002, 4003, 4004, 4006, 4036"
"Judgment Day, preparation for ","3069"
"judgment of wicked ","2124, 4034"
"jugement, le ","186"
"Julian the Apostate, conquest of paganism ","2131"
"justice ","145, 360, 2179"
"justice, obligations of ","1964"
"justice of God ","2077, 2086, 4041, 4048, 4049"
"justification ","65, 106, 4012, 4015, 4020, 4022, 4023, 4039, 4063, 4066"
"justification through Christ ","4061"
"Justin, martyr ","2141"
"justness ","3040"
"just, the ","231, 4012"
"juvenile conduct, regulation of ","2158"
"Kelly, Mrs., funeral of ","198"
"Kelso, J., funeral of ","1845"
"kindness ","4017"
"king's power, divine source of ","893"
"Kingdom of God ","311, 742a, 742b, 742, 798, 800, 4022, 4045, 4064"
"Kingdom of God, nature of ","1772"
"Kingston Parish, Mathews Co., Va ","944"
"King Agrippa ","3062"
"knowledge ","655"
"knowledge, importance of ","663, 1896"
"knowledge, limitations of human ","2074, 4007, 4025"
"knowledge, regulation of zeal through ","2206"
"knowledge of Christ ","991a, 991"
"knowledge of self ","285"
"Knox, Dr ","966"
"labor ","1938"
"labor, necessity of ","2157"
"Lacedemonians, negligence of ","2153"
"Lafayette, imprisonment of ","2066"
"language of religious service ","3045"
"Last Days ","3052, 3067, 3069, 3119"
"Last Days, signs of ","3069"
"Last Judge, quality of ","3122"
"last judgment ","251, 643, 869, 1867, 1869, 1884, 1890, 1898, 1901, 1902, 1907, 1912, 1913, 1917, 1943, 1955, 1990, 1996, 1997, 2039, 2042, 2045, 2046, 2050, 2064, 2067, 2071, 2076, 2089, 2106, 2107, 2111, 2117, 2132, 2134, 2138, 2140, 2155, 2159, 2168, 2177, 2181, 2184, 2190, 2199, 2205, 3032, 4004, 4006, 4011, 4016, 4025, 4027, 4030, 4033, 4034, 4036, 4043, 4046, 4048, 4049, 4051, 4061"
"last judgment, certainty of ","3122"
"last judgment, results of ","3122"
"last judgment, subjects of ","3122"
"last judgment, terrors of ","4036"
"Last Supper ","934m, 1651, 1991, 4047"
"laughter ","4018"
"Lawrence, Mrs., funeral of ","1845"
"lawsuits, sinfulness of ","1760"
"laws, God's ","2067"
"laws, type of ","2017"
"law ","908"
"law, ceremonial ","1603, 1604"
"law, curse of ","809"
"law, divine ","1902, 2060, 2096, 2101"
"law, human ","1902"
"law, moral ","1603, 1604"
"law, Mosaic ","2097, 4020, 4037"
"law, sacrifices of the ","127"
"law of God ","955, 956, 3078, 4019"
"Lazarus ","942, 3120"
"Lazarus, Christ's raising of ","1884"
"Lazarus, parable of ","470"
"Lazarus, parable of the rich man and ","1844, 2076, 2077, 2079, 2080"
"Lazarus, resurrection of ","2047"
"Lazarus the beggar, parable of ","1821"
"La Colombiere, Rev. Claude de ","3, 52"
"learning, human ","2161"
"learning, religion weakened by ","2166"
"Lee, Robert Edward ","920"
"Lenten sermon ","2063, 2086, 2104"
"Lent ","4, 5, 85, 99, 117, 130, 373, 450, 1838, 1933, 4011"
"Lesk, Mr. ","4062"
"Lewis, Rev. John ","239, 240, 1031"
"liberal education, necessity of ","3096"
"liberty-school ","932a"
"liberty ","379, 3064, 4009, 4026, 4026"
"liberty, enemies of ","4011"
"life, as probationary state ","1774, 2123"
"life, brevity of ","2118"
"life, eternal ","264, 848, 968, 1728, 1731, 1774, 1787, 2060, 2096, 2123, 2138, 2176, 2199, 2208, 4003, 4004, 4005, 4018, 4028, 4032, 4034, 4038, 4039, 4061, 4063"
"life, everlasting ","4006, 4007, 4022"
"life, overfondness for ","2181"
"life, religious ","2163"
"life, spiritual ","2162"
"life, transitoriness of ","3, 879, 4032, 4033"
"life, trials of ","2058, 4007"
"life, uncertainty of ","2138, 2168, 2179"
"lightning, death by ","3002"
"light, inward ","693"
"limitations of pleasing men ","3126a"
"Lion's Den, Daniel and ","2051"
"Lisbon earthquake ","694, 3103"
"liturgy, Anglican ","1810"
"liturgy, Episcopalian ","1822, 1856, 1857, 1858"
"Livers, Rev. Arnold ","45, 46, 47, 48, 49, 50, 51, 235h"
"living a Christian life ","3085, 3092, 3114, 4012, 4050, 4051"
"living righteously ","1629, 1642, 4032"
"Livy ","1852"
"Lloyd, Anne, funeral of ","720"
"Lloyd, Edward, funeral of ","721"
"Lloyd, Nancy ","1030"
"loaves and fishes, miracle of ","313"
"Locke ","1855, 2059"
"long suffering ","4017"
"Lord's Day, joy of ","650"
"Lord's Prayer ","1858, 2113, 2114, 2115, 2118, 2120, 2121, 2122, 4039, 4045"
"Lord's Prayer, explanation of ","4045"
"Lord's Supper ","998, 999, 1003, 1006, 1007, 1009, 2043, 3140, 4010, 4021, 4047, 4050"
"Lord's Supper, blessing of the elements of ","1000"
"Lord's Supper, cup in ","1002"
"Lord's Supper, duties regarding the ","1004, 1005"
"Lord's Supper, duty in receiving ","1008"
"Lord's Supper, exhortation ","1003"
"Lord's Supper, memorials of ","4047"
"Lord's Supper, nature of ","4047"
"Lord's Supper, neglect of ","4047"
"Lord's Supper, preparation for ","3020, 3021"
"Lord's Supper, proper distribution of ","1001"
"Lord's Supper, purpose of ","3021, 4047"
"Lord, fear of ","738, 1668"
"Lord, joy of the ","812"
"Lord, light of ","897"
"Lord, name of ","169, 173, 175"
"Lord, service to ","803"
"Lord, spirit of the ","363"
"loss ","92"
"loss, pain of ","88, 297"
"lost sheep, parable of ","1947"
"Lot ","4051, 4064"
"Louis XIV ","2149"
"Louis XVI, murder of ","2066"
"love ","936, 964, 3100, 4015, 4017, 4031"
"love, brotherly ","3100"
"love, duty to ","3030"
"love, God's ","163, 4017"
"Love, God is ","746"
"love, universal ","1911, 2198"
"love of Christ ","3131"
"love of enemies ","298, 2135"
"love of God ","772, 831, 965, 3100, 3111, 4017"
"love of neighbors ","2095"
"love of the world ","146"
"love one another ","3100"
"loyalty to church ","935, 3064"
"loyalty to crown ","935"
"Loyal Society of Citizens ","935"
"Loyola, St. Ignatius ","75, 101, 235v, 247, 325, 402"
"lukewarmness ","380, 1956"
"lukewarm Christians ","2205, 3085"
"Luke ","2113"
"Luke, on the Lord's Prayer ","2113"
"Lunsford, Lewis, death of ","947, 948, 949"
"lust ","1982, 4025, 4046, 4050"
"lust, suppression of ","2094"
"lust, victory over ","671"
"Luther, Martin ","56"
"Lycurgus ","676"
"lying ","2006, 2125, 4062"
"lying, evil effects of ","2194"
"Lyttleton ","1855"
"M.Farland's [McFarland's], Mr. ","4061"
"M.Whorter [McWhorter], Jane ","4062, 4064"
"Magdalene, Mary ","335, 1940, 1941, 3112"
"magistrates, duties of ","1756"
"magistrates, obedience to ","680"
"Magi ","290, 2161"
"Mahometism ","2151"
"Mahomet ","2100"
"Malachi ","2098"
"malice ","2010, 2125"
"Mammon ","727, 1900, 1920, 2090, 4015, 4061, 4062"
"Manasseh, reformation of ","2087"
"mankind, depravity of ","1744, 2205, 4041, 4042, 4049"
"mankind, different conditions of ","2079"
"mankind, imperfection of ","2052"
"mankind, ingratitude of ","2082"
"mankind, shortcomings of ","1663"
"manna, Moses and ","2136"
"manners, bad ","56"
"manners, good ","1795"
"Mannin, Cath ","333"
"manufacture, need to support domestic ","4011"
"man, affliction of ","3077"
"man, as social animal ","2050"
"man, burden of ","3048"
"man, Christian conduct of ","3040"
"man, creation of ","957, 4033"
"man, duty of ","4023, 4064"
"man, duty to God ","3039, 3092, 4006, 4033, 4050, 4067"
"man, evidence of creator's existence ","2119"
"man, heart of ","3029"
"man, honored by God ","3121"
"man, imperfection of ","3051, 4022, 4037"
"man, laws of ","4015"
"man, natural state of ","4003, 4004, 4019, 4049"
"man, nature of ","1928, 4013, 4014, 4016"
"man, perfectibility of ","2199"
"man, reputation of ","3041"
"man, sins of ","4011, 4016, 4017, 4022, 4029, 4030, 4035, 4048, 4050, 4051"
"man, union of soul and body ","1970"
"man, unregenerate state of ","2075, 4012, 4019, 4037, 4039, 4041, 4042, 4043, 4044, 4045, 4046, 4048, 4049, 4061"
"man, upright ","2020"
"Marie Antoinette, murder of ","2066"
"Marling, John ","4061"
"marriage ","155, 217, 718, 2004"
"marriage of the King's son, parable of ","4050"
"marriage sermon ","930"
"Martha ","674, 1999, 2047"
"Martin, L. ","1786"
"martyrdom, Christian ","1789"
"martyrs ","1891, 4020"
"martyrs, sufferings of ","2189"
"Mary ","215, 215, 280, 292, 1969, 2047, 3017, 3112"
"Mary, Assumption of ","40, 46, 74, 82, 138, 185, 197, 249"
"Mary Magdalene ","335, 1940, 1941, 3112"
"Mass ","332"
"Mass, hearing ","48"
"Mass, sacrifice of the ","49"
"Mass as propitiary sacrifice, the ","268"
"masters, duties of ","1966"
"matrimony ","1756, 4014"
"matrimony, importance of ","2110"
"Matthews, Rev. Ignatius ","383, 463"
"Matthew ","2113, 4006"
"Matthew, on the Lord's Prayer ","2113"
"Mayo, Mrs., funeral of ","1870"
"McCorkle, Samuel Eusebius ","933"
"McDermot, J., funeral of ","283"
"McKee, Alexander ","4061"
"McKnight, Charles ","950"
"mediation ","4041"
"meditation ","1801"
"meditation, religious ","2104"
"meditation on God ","1631"
"meditation on religion ","1826"
"meekness ","675, 934kk, 4017, 4020, 4021, 4022, 4026, 4066"
"meekness as a virtue ","3128"
"memorials ","4047"
"memory, transformation of ","4064"
"Mercer, Captain, funeral of ","1870"
"mercy ","2, 259, 290, 774, 1621, 1722, 1753, 1825, 2180, 3039, 4025"
"mercy, divine ","1806, 1968, 1971, 2108, 2187"
"mercy of Christ ","2192, 2206"
"mercy of God ","135, 390, 677, 997, 1797, 2191, 4003, 4028, 4035"
"merriment ","838"
"merriment, justness of ","3063"
"Messiah, anticipation of ","2161"
"Messiah, false ideas of ","1789"
"Messiah, Jews' expectations of ","2127, 2128"
"Messiah, promise of ","2011, 2109"
"Messiah, prophecies concerning ","2182"
"Messiah, prophecies of ","1787, 2100"
"Messiah, role of ","2117"
"Methodism ","1945, 2167"
"Methodist Episcopal Church, General Conference of ","548"
"Methuselah, advanced age of ","2193"
"Micah, prophecies of ","2073"
"Milton ","1827, 1855"
"mind, gifts of ","4026"
"mind, nature of the ","4064"
"mind, peace of ","672"
"mind, renewing ","4064"
"mind of man ","3109, 4005, 4014"
"ministers ","3006"
"ministers, character of ","2152"
"ministers, charge to new ","991c, 991"
"ministers, deference to ","2027"
"ministers, duties of ","991c, 1626, 1833, 2055, 2097, 2152"
"ministers, three orders of ","2027"
"minister, death of ","1636, 1637"
"minister, office and character of ","10"
"minister, training of ","4066"
"ministry, authority of ","2069"
"miracles ","1929, 2034, 3075, 3130, 3134"
"miracles, argument from ","1832"
"miracles, proof of Christ's divinity ","2128"
"miracles, truth of ","2080, 2109, 3038"
"miracles of Christ ","2127"
"miracles of Moses ","2126"
"miracles of Moses and Aaron ","2083"
"miracle, of the loaves and fishes ","313"
"Miriam ","2201"
"mirth ","3098, 4008, 4018"
"mirth, righteousness of ","3038"
"miserliness, evils of ","2088"
"misery, human ","2088, 4062"
"missions, frontier ","1963"
"Moab ","2142"
"Moale, Mrs ","739"
"mockers of religion ","2154"
"moderation ","1916, 1933, 1976, 2038, 2061, 2078, 2105, 2112, 2120, 2166, 2171, 2173, 2174, 2207"
"moderation, early instruction ","2099"
"moderation in religion ","2060"
"Mohametans ","2107"
"Mohametans, comfort of ","2085"
"money ","655, 4018"
"money, evil of ","4067"
"morality ","663, 1826, 2024, 2042, 2079, 4066"
"morality, Christian ","2203"
"morality, false ","2029"
"morality, necessity of ","2070"
"morality, standards of ","1902"
"morality, superiority to intellect ","2048"
"morality without faith, inefficacy of ","1753"
"morals ","737, 2044"
"moral instruction, necessity of ","2099"
"moral law ","1603, 1604"
"moral sense, instinctiveness of ","2178"
"moral virtues ","1673"
"Morning Prayer ","1856, 1857, 1858"
"Morrison, James ","4062"
"Morris, Rev. Peter ","4"
"mortality ","338, 4062"
"mortification ","201, 4018, 4043, 4047, 4062, 4064"
"Mosaic law ","1786, 1924, 1948, 2023, 2097, 4020, 4035, 4037"
"Mosaic law, imperfections of ","2017"
"Mosaic law, vindication of ","2018"
"Moses ","981, 1755, 1831, 1834, 1974, 2083, 2145, 2201, 3135"
"Moses, blessing of ","2113"
"Moses, compared to George Washington ","2183"
"Moses, law of ","2017, 2018"
"Moses, miracles of ","2126"
"Moses, proofs of his existence ","2126"
"Moses, prophecy of ","2129"
"Moses, revelation of ","1852"
"Moses, similarity to Christ ","2128"
"Moses, truth of ","1814"
"Moses compared to Christ ","1974"
"Moses in the wilderness ","2136"
"mosque, Turkish ","4037"
"Munnings, Mr., funeral of ","1845"
"murder ","4015, 4062"
"murder, dueling a form of ","2094"
"Murphy, Phil. funeral of ","88"
"music, church ","1897"
"music, consolations of religious ","2201"
"music, history of religious ","2201"
"mustard-seed, parable of the ","100, 149"
"mutability of humans ","1763"
"Name of Christ ","3101"
"Name of God, profanation of ","966"
"Name of Jesus, the ","463"
"Napier, G. Fox ","4048"
"nationalism, colonial British ","3063"
"nations, wrongful actions of ","819, 4009, 4011"
"nativity of Christ ","4035"
"natural religion ","2052, 2079, 2116, 2119, 2203"
"nature ","920, 4026"
"nature, as teacher ","2091"
"nature, human ","4025, 4026"
"nature, state of ","4004"
"Neale, Rev. Bennet ","238"
"Neale, Rev. Francis ","174, 181, 182, 187, 196, 244, 353, 370, 376"
"Neal, Mrs., funeral of ","283"
"Nebuchadnezzar ","1827"
"needful, the one thing ","1642, 4014"
"negro Children, Elizabeth and Solomon ","4062"
"Nehemiah, Babylonian captivity of ","2146"
"Nehemiah, patriotism of ","2146"
"neighbors, duty to ","3040, 4015"
"neighbors, right treatment of ","1629, 1638, 4046"
"neighbor, condemning one's ","354"
"neighbor, love of ","98, 398, 675, 2095, 4017"
"Nelson, Peter ","1778"
"Nelson, William Jr., marriage of ","930"
"Newcome, Rev. Peter ","934nn"
"Newton ","1757, 1855, 2059"
"new birth ","921"
"New Covenant ","2011, 2031, 4044"
"New Jersey Clergy ","922"
"new man, putting on the ","2179"
"New Testament ","3075, 3130"
"New Testament, distinguishing characterisitics of ","3130"
"New Testament, divine origin of ","3130"
"New Testament, truth of ","1814, 1836, 3074"
"New Year's sermon ","1792, 2015, 2160, 4043"
"New York Clergy ","922"
"Nicene Creed ","2177"
"Nicodemus ","676, 1983, 4014"
"Nicols, Mrs. R., funeral of ","2020"
"Ninevah ","1893"
"Noah ","2134, 4034"
"Noah, drunkenness of ","1750"
"Noah, symbolism of ","3110"
"Noah and the ark ","2110, 2145"
"non-believers ","3053, 3062"
"non-Christians, salvation of ","2096"
"Nugent, Rev. Andrew, suspension of ","111"
"Nuns, exhortations to ","99"
"obedience ","159, 660, 675, 934bb, 1770, 1772, 1825, 1994, 3052, 3111, 4011, 4012, 4013, 4015, 4031, 4034, 4035, 4042, 4047, 4061, 4062, 4066, 4066"
"obedience, demanded by God ","2053"
"obedience, necessity of ","2030"
"obedience, rewards for ","2051"
"obedience to God ","256, 3078, 3087, 3088, 3092, 3114, 3117, 4006, 4020, 4033"
"obedience to magistrates ","680"
"obedience to parents ","680"
"obedience to pastors ","680"
"obligations to God ","3783, 4047"
"offertory ","3081"
"Oglesby, Sha. ","4034"
"Old Testament, doctrines of ","4007"
"Old Testament, rejection of ","2018"
"Old Testament, truth of ","1852"
"olive tree ","4026"
"Olliman, Jacob ","1"
"Oman ","4048"
"omniscience of God ","2114, 3107"
"oral tradition, validity of ","3047"
"ordination ","991c, 1778"
"original sin ","671, 3783, 4003, 4005, 4010, 4012, 4014, 4016, 4019, 4028, 4035, 4037, 4041, 4061, 4066"
"orphans ","1802, 1944"
"orphans, duties to ","1841"
"orphans, rights of ","3097"
"orthodoxy ","4038"
"Osborn, Col. ","4062, 4064"
"over-indulgence, dangers of ","1752"
"Owen, Mrs. ","4016"
"Owings, Mr ","3783"
"pagans, beliefs of ","1959, 4066"
"pagans, comfort of ","2085"
"pagan beliefs concerning death ","2199"
"pagan gods ","4042"
"pagan philosophy, shortcomings of ","1827"
"pagan sacrifice ","1903"
"Paine, Thomas ","2016, 2021, 2028, 2080, 2100, 2167, 2197"
"Palestine ","4006"
"Paley ","2059"
"Palm Sunday ","224"
"Papists ","3044, 4020"
"Papists, error of ","4021"
"parables, Christ's use of ","1885"
"parable of the disobedient servants ","2195"
"parable of the fig tree ","403, 1786, 1867, 1913, 1915, 1924, 1956, 2111, 2176, 2208"
"parable of the foolish virgins ","2111, 2155, 2208, 4051"
"parable of the Good Samaritan ","2012"
"parable of the householder ","2034"
"parable of the marriage of the King's son ","4050"
"parable of the mustard-seed ","100"
"parable of the Pharisee & the Publican ","1953"
"parable of the prodigal son ","724, 1032, 1994, 2178"
"parable of the rich man ","1909, 1979, 4001"
"parable of the Rich man and Lazarus ","942, 1844, 2076, 2077, 2079, 2080"
"parable of the sower ","1931, 1932, 1934, 1936, 1938, 1967, 2025"
"parable of the talents ","1936, 2077, 2103, 2111, 2155"
"parable of the tares ","1997"
"parable of the tares and wheat ","1823, 2134"
"parable of the unjust steward ","1848, 2033"
"parable of the unprofitable servant ","1786, 2208"
"parable of the vine and its branches ","3050"
"parable of the wicked servant ","406"
"parable of the wise and foolish virgins ","2138"
"parable of the wise virgins ","2041, 2103"
"paradise, meaning of the word ","2181"
"pardoning ","66"
"parental authority ","2094"
"parental duties ","192"
"parents ","680, 4015"
"parents, disobedience to ","2125"
"parents, duties of ","160, 1770, 1839, 2003, 2141, 2168"
"parents, duty to children ","2021, 3037, 3058, 4010, 4021, 4031"
"parents, responsibilities of ","1784, 2158, 4013"
"parents, responsibilities toward children ","1756, 4010"
"parents, training of children ","2174, 4031"
"passions, governing of ","1976, 4033"
"passions, mortification of ","271, 442, 4005"
"passion ","3128"
"passion, conflict with reason ","671, 4025"
"passion, conquers reason ","2203"
"Passion of Christ ","60, 240, 266, 423, 433, 3131"
"Passion Sunday ","234, 235"
"Passover ","4047"
"pastoral duties ","113, 147"
"pastors, duties of ","113, 147, 235u"
"pastors, obedience to ","680"
"pastor, removal of ","109"
"patience ","101, 105, 477, 665, 675, 1772, 2061, 3128, 4007, 4016, 4034, 4063"
"patience, degree of ","3008"
"patience, divine ","3070"
"patience, duty of ","1767"
"patience, God's ","339"
"patience of God ","2195"
"patience under afflictions ","434, 2196, 2197"
"patriarchs, prophecies of ","1925"
"patriotism ","3063"
"Paul ","1924, 2027, 2096, 2098, 4006, 4015, 4020, 4021, 4061, 4062, 4067"
"Paul, accused by Tertullus ","2184"
"Paul, background of ","919"
"Paul, conformity to Jewish law ","2130"
"Paul, conversion of ","2087"
"Paul, fear of losing God's favor ","2205"
"Paul, instructions concerning the dead ","2199"
"Paul, persecutions endured by ","2196"
"Paul, teachings of ","2034"
"Paxton, John ","934"
"peace ","196, 653, 672, 927, 982, 1991, 2020, 2093, 4016, 4017, 4018, 4062, 4064"
"peace, blessings of ","2022"
"peace, covenant of ","1660"
"peace, none for the wicked ","913"
"peace, way of ","884"
"peace of mind ","3022"
"Pellentz, Rev. James ","245"
"Pelopidas the Theban ","2153"
"penance ","84, 124, 139, 304, 366, 1032, 1791, 4014"
"penance, advantages of ","413"
"penance, sacrament of ","184, 235o, 235p, 261, 284"
"penitence ","335, 4018, 4027, 4043"
"penitence, true ","2094, 4050, 4051"
"penitent sinners ","1742, 4050, 4051"
"penitent thief ","2177"
"Pennsylvania Academy ","839"
"Pentecost ","125, 253, 405, 1758, 1775, 2109"
"Pentecost, evidence for ","2143"
"perfectibility of man ","2199"
"Perrigo, John, funeral of ","1845"
"persecution ","83, 336, 1789"
"perseverance ","1772, 1878, 4022"
"Persian Empire, destruction of ","4009"
"pestilence ","4044"
"Peter ","664, 2098, 2107, 2108, 4004"
"Peter, defense of Christ by ","2187"
"Peter, denial of Christ ","1832, 2187"
"Peter, repentance of ","2187"
"Pharaoh, defeat of ","2083"
"Pharisees ","360, 1922, 1947, 2034, 2094, 2097, 2204, 4004, 4010, 4024"
"Pharisees, hypocritcal actions of ","669"
"Pharisees, pride of ","2200, 4005, 4039, 4043"
"Pharisees, scribes of ","4008"
"Philadelphia, public charities in ","2137"
"philanthropy ","2084"
"Philistines ","4048"
"Phillips, Rev. Vincent ","236"
"philosophers, ancient ","1921"
"philosophers, Greek ","2130"
"philosophers, mistakes of ancient ","2091"
"philosophers, Roman ","2130"
"philosophy, ancient ","676"
"philosophy, inadequacy of ","2045, 2178, 4026"
"Philpot, Miss Ann, funeral of ","1870"
"Phinehas, son of Eli ","4048"
"Physical postures for Worship, denial of importance ","3065"
"piety ","675, 1792, 1949, 2043, 2051, 2102, 2185, 4006, 4006, 4008, 4020, 4067"
"piety, importance of ","1771"
"Pilate, Pontius ","60, 240, 2156, 2165, 4019"
"pity ","47"
"Pius VI, Pope, death of ","118"
"planets ","4036"
"Platonism ","2107"
"Plato ","676, 1834, 2072, 2131"
"pleasing men, benefits of ","3126a"
"pleasing men, limitations of ","3126a"
"pleasure ","2039, 3126, 4062"
"pleasure, carnal ","4018"
"pleasure, immoderate pursuit of ","1744, 4025"
"pleasure, innocent ","3126"
"pleasure, sensual ","2060"
"pleasure, sinful ","3126"
"plundering ","952"
"political sermon ","13, 1973, 2146"
"polygamy ","2004"
"polytheism ","1921, 1988, 4003"
"poor ","3054, 3138"
"poor, duties of ","2077, 2080"
"poor, necessity of ","3091"
"poor, obligation to help the ","2180"
"poor, reason for ","3091"
"Pope ","4026"
"pornography ","2004"
"Porter, Mrs. R., funeral of ","1805"
"possessions, transitory nature of ","644"
"possessions, worldly ","656, 3026"
"poverty ","658, 1790, 2029, 3102"
"poverty, blessings of ","2038"
"poverty, causes of ","2036"
"poverty, virtues of ","1985"
"Powel, Mrs. ","4034"
"power ","3064"
"power, right use of ","934bb"
"power of God ","3001, 4009"
"Praise, duty of ","1746"
"prayer ","11, 73, 669, 670, 675, 677, 741, 785, 2078, 2133, 2147, 2179, 2204, 3051, 3080, 3101, 4045, 4062"
"prayer, daily ","2190"
"prayer, definition of ","4039"
"prayer, duty and benefit of ","677, 4039, 4062"
"prayer, efficacy of ","677, 1603, 1604, 1644, 1645, 1750, 1850, 4039, 4045"
"prayer, evening ","666"
"prayer, family ","669"
"prayer, forms of ","2113"
"prayer, importance of ","2093, 4062"
"prayer, ineffectual ","2152"
"prayer, language of ","3045"
"prayer, necessity of ","640, 1786, 2084, 4023, 4039"
"prayer, neglect of ","1910"
"prayer, private ","669, 670, 2143"
"prayer, proper ","2120, 4039, 4046"
"prayer, proper preparation for ","670"
"prayer, proper sentiments to accompany ","2114"
"prayer, public ","2122, 4039"
"prayer, secret ","669, 670"
"prayer, successful ","2035, 4039"
"Prayer of 1789 (Episc.) ","1828"
"preachers, monetary support of ","2164"
"preacher, office of ","826"
"preaching ","806, 807, 808, 824, 825, 1930, 1931, 1932, 1934, 1936"
"preaching, efficacy of ","1605, 4008"
"preaching, value of ","1963"
"preaching style ","1820"
"predestination ","659, 1908, 1977"
"predestination, a mistaken doctrine ","2065"
"predestination, condemnation of ","2019"
"predestination, contradicted by reason and scripture ","2059"
"premarital intercourse prohibited ","2004"
"preparation for communion ","3081"
"preparation for death ","3001, 3002, 4034"
"Presbyterian doctrine ","4066"
"presumptuous sin, avoidance of ","3066"
"presumptuous sin, cause of ","3066"
"presumptuous sin, danger of ","3066"
"pride ","108, 669, 1607, 2040, 2102, 3033, 4012, 4017, 4019, 4022, 4048, 4064"
"pride, absence of in heaven ","3033"
"pride, adverse effect of ","474, 4011"
"pride, evils of ","2077"
"pride, human ","2063, 2086, 2108"
